finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
0.78000116	12	71	0	1	1	7
1.20120215	15	86	8	1	1	7
1.87200308	21	126	16	1	1	7
2.16840315	24	141	22	1	1	7
2.60520411	32	156	42	0	3	8
6.52081108	68	273	139	0	4	9
7.33201218	85	345	148	1	4	10
8.33041406	92	397	149	2	1	8
12.27722120	104	463	192	2	1	8
16.47362924	119	554	235	2	1	8
19.15683317	129	607	270	2	1	8
34.67886114	232	1019	496	1	3	13
37.36206508	248	1077	520	1	5	22
38.46966720	250	1089	528	1	5	24
40.70047116	270	1175	562	1	4	14
49.54568720	331	1415	698	1	3	15
53.24289322	347	1473	723	1	5	25
54.91209602	349	1485	733	2	5	27
60.15370512	387	1655	798	1	4	16
63.80411220	415	1757	853	1	4	17
65.34851408	430	1817	884	1	3	15
68.59332013	449	1917	905	1	5	26
69.93492222	452	1940	913	1	5	28
75.48853207	485	2055	985	1	4	19
79.23253918	512	2160	1053	1	3	17
83.56934619	531	2260	1075	1	5	29
85.86255002	534	2283	1085	2	5	31
89.35695720	558	2350	1143	1	3	9
98.93537307	615	2575	1303	1	3	16
99.87137508	620	2590	1315	1	3	16
105.06618404	635	2671	1366	2	3	18
105.84618616	640	2687	1378	2	3	18
107.03178811	646	2713	1395	1	3	17
107.96778917	651	2738	1405	1	3	17
109.15339112	656	2766	1413	2	3	19
110.43259406	661	2791	1424	2	3	19
175.28190708	955	3865	2111	0	5	15
180.25831604	975	3962	2168	1	5	18
181.86511922	989	4030	2200	0	5	16
235.54481316	1143	4689	2614	2	6	30
finished uploading
travel-2
k=40
time	expanded	visited	terminated	depth	cost	trace
0.71760082	8	57	0	1	1	7
1.07640195	12	77	3	1	1	7
1.68480301	18	120	7	1	1	7
1.96560287	21	137	10	1	1	7
3.46320581	31	202	32	2	1	8
4.13400698	36	233	35	2	1	8
5.08560896	43	287	38	2	1	8
5.63160992	47	315	41	2	1	8
18.17403197	82	463	223	0	3	8
19.95243502	86	493	251	0	4	10
32.18285584	204	1015	382	1	3	13
34.27325988	224	1111	405	1	4	14
41.04367185	277	1354	482	1	3	15
46.31648088	315	1544	527	1	4	16
56.30049896	365	1756	630	1	4	17
57.73570085	380	1825	648	1	3	15
63.33611083	417	1968	707	1	4	19
67.03331780	444	2089	750	1	3	17
78.23413682	469	2198	883	1	4	11
78.40573788	472	2214	884	1	3	9
96.25216889	525	2420	1292	2	4	11
96.31456900	527	2425	1293	1	4	10
96.36136889	529	2430	1294	0	4	9
124.41021800	665	3075	1471	1	5	22
125.29941988	667	3088	1475	1	5	25
126.17302084	669	3102	1478	1	5	24
127.31182289	672	3124	1487	1	5	26
129.01222587	674	3137	1497	2	5	27
130.21342897	677	3160	1502	1	5	29
131.61743093	680	3184	1510	1	5	28
133.64543486	683	3207	1521	2	5	31
162.84868598	808	3896	1737	1	3	14
164.47108889	814	3920	1761	1	5	17
165.78149080	820	3946	1767	1	3	14
167.59109402	826	3970	1796	1	5	17
177.65311193	899	4293	1888	2	2	12
177.80911183	901	4298	1889	2	2	12
186.17072701	923	4403	1967	2	2	12
186.32672691	925	4408	1968	2	2	12
202.06715488	985	4719	2099	1	2	11
finished uploading
travel-3
k=40
time	expanded	visited	terminated	depth	cost	trace
0.73320198	8	57	0	1	1	7
1.07640195	12	77	3	1	1	7
1.65360284	18	120	6	1	1	7
1.93440390	21	137	9	1	1	7
3.43200588	33	207	30	2	1	8
4.11840701	38	238	33	2	1	8
5.07000899	45	292	37	2	1	8
5.63160992	49	320	40	2	1	8
17.59683084	78	451	237	0	3	8
19.01643395	86	488	263	0	4	10
35.36526203	208	1036	448	1	3	13
37.64286590	228	1132	471	1	4	14
44.19487786	280	1374	539	1	3	15
49.49888682	318	1564	584	1	4	16
59.18650389	368	1776	686	1	4	17
60.91810703	383	1845	704	1	3	15
66.65891695	420	1988	765	1	4	19
70.02852297	447	2109	808	1	3	17
84.19334793	479	2214	1000	1	3	9
84.53654885	484	2243	1001	1	4	11
91.33816099	525	2458	1061	1	3	16
91.71256089	528	2473	1065	1	3	16
96.72017002	541	2562	1098	2	3	18
97.25057101	544	2578	1102	2	3	18
98.03057194	548	2606	1105	1	3	17
98.87297392	552	2632	1111	1	3	17
99.98057580	556	2660	1116	2	3	19
101.08817792	560	2687	1122	2	3	19
108.27978992	562	2638	1385	1	4	10
108.37339091	566	2648	1387	0	4	9
141.78864884	737	3392	1669	1	5	22
142.70905089	739	3405	1673	1	5	25
143.86345291	741	3418	1681	1	5	24
144.72145391	744	3441	1685	1	5	26
146.56225801	746	3454	1695	2	5	27
147.74785995	749	3477	1700	1	5	29
149.12066197	752	3501	1708	1	5	28
