finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
0.76440191	11	69	0	1	1	7
1.23240185	15	85	10	1	1	7
1.95000386	22	126	20	1	1	7
2.41800499	27	144	35	1	1	7
3.33840585	43	202	56	1	5	18
5.52240992	59	270	80	2	7	31
6.73921204	64	282	102	0	3	8
10.99801993	88	355	210	1	6	16
14.44562602	110	456	239	2	9	28
16.19282889	121	505	248	2	8	27
20.56083584	132	555	264	3	10	41
30.17045283	143	605	285	4	12	58
32.37005687	154	642	316	2	8	28
37.51806593	170	714	346	3	9	47
46.75328183	191	783	392	3	11	41
49.71728802	199	808	410	2	10	39
58.03210187	216	900	478	1	3	9
60.07570601	238	968	515	1	3	16
61.13650799	245	986	538	1	3	16
65.78531599	283	1125	612	1	5	25
67.23611784	290	1145	636	1	5	25
69.12372184	299	1170	677	1	7	29
84.61454892	324	1267	737	4	13	57
106.86018801	335	1320	769	5	14	78
111.22819591	345	1349	790	3	11	42
115.00340199	355	1398	803	3	10	42
117.92060685	361	1420	816	3	10	43
128.82502699	381	1492	883	3	12	56
137.73264194	390	1537	917	3	12	55
167.02949405	440	1745	1032	2	9	45
178.68271399	482	1929	1126	2	9	44
208.61916685	556	2323	1305	4	11	66
242.14362597	652	2665	1630	2	11	39
301.75132990	689	2843	1809	5	15	76
316.85215688	707	2911	1827	4	14	76
337.13219190	718	2960	1871	4	14	75
348.61381292	724	2989	1895	4	14	74
488.63965893	894	3791	2431	6	16	101
512.28929996	1001	4374	2607	0	4	9
513.59970188	1017	4446	2618	1	7	28
finished uploading
travel-2
k=40
time	expanded	visited	terminated	depth	cost	trace
0.71760106	7	55	0	1	1	7
1.15440202	11	74	8	1	1	7
1.88760304	17	116	18	1	1	7
2.18400407	20	132	24	1	1	7
6.44281101	34	183	121	2	1	8
75.98773313	141	734	558	2	1	8
144.87745404	250	1308	995	2	1	8
147.68545890	258	1367	1025	2	1	8
150.32186413	270	1433	1057	1	4	10
673.81198311	1129	5566	4208	0	3	8
674.56078506	1137	5611	4214	1	6	18
676.08958697	1143	5643	4224	2	8	29
676.08958697	1143	5640	4226	0	4	10
681.44039702	1193	5847	4328	1	3	13
682.29839802	1197	5864	4337	1	5	22
684.10800099	1203	5896	4347	1	5	24
690.62881303	1216	5955	4368	2	7	38
693.49921799	1226	5994	4386	1	6	25
699.78602910	1245	6083	4408	1	6	27
712.99925208	1263	6170	4432	3	9	55
731.43848491	1298	6324	4473	2	8	40
737.35089493	1327	6457	4511	1	4	14
747.60011292	1400	6782	4614	1	3	15
750.29891801	1406	6813	4630	2	5	27
757.98973107	1430	6915	4657	2	6	30
759.12853312	1434	6933	4663	1	5	25
765.33734393	1442	6971	4682	3	7	42
773.73015904	1460	7055	4701	2	7	40
780.71897101	1470	7098	4721	2	7	39
807.72261906	1524	7321	4777	3	8	44
826.86385202	1542	7408	4804	4	9	60
838.62627292	1563	7508	4832	1	6	28
