finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
0.78000212	11	69	0	1	1	7
1.18560219	14	84	8	1	1	7
1.85640407	20	124	16	1	1	7
2.15280414	23	139	22	1	1	7
2.69880509	32	152	50	0	3	8
7.36321306	64	287	141	2	1	8
11.23202014	76	353	184	2	1	8
15.35042715	91	444	227	2	1	8
18.08043218	101	497	262	2	1	8
44.07007813	230	1038	593	2	3	18
44.88127899	235	1053	606	2	3	18
46.22288108	241	1082	617	2	3	19
47.51768398	246	1108	627	2	3	19
121.99221516	446	2000	1343	0	4	9
122.55381608	460	2059	1347	1	4	10
126.46942210	498	2199	1418	1	3	13
129.46462798	514	2257	1442	1	5	22
130.60343003	516	2269	1450	1	5	24
132.83423400	536	2355	1484	1	4	14
138.18504310	573	2525	1551	1	3	15
141.81984901	584	2574	1570	2	5	27
143.42665219	591	2594	1587	1	5	25
150.04106402	610	2660	1610	2	6	30
155.28267312	648	2831	1674	1	4	16
158.71467900	663	2884	1692	2	6	29
162.08428502	691	2986	1745	1	4	17
163.64428806	706	3046	1776	1	3	15
167.45069408	725	3146	1797	1	5	26
168.82349706	728	3169	1805	1	5	28
174.17430615	761	3284	1878	1	4	19
179.50951600	778	3359	1898	2	6	30
183.17552209	805	3464	1962	1	3	17
187.12232900	819	3547	1975	2	5	31
189.50913310	827	3586	1995	1	5	29
194.31394219	846	3652	2016	2	6	29
196.80994606	861	3681	2064	1	3	9
202.34795618	899	3817	2164	1	3	16
202.90955710	904	3832	2176	1	3	16
204.06395912	910	3857	2196	1	3	17
205.01556015	915	3882	2206	1	3	17
finished uploading
travel-2
k=40
time	expanded	visited	terminated	depth	cost	trace
0.71760106	7	55	0	1	1	7
1.06080198	11	75	3	1	1	7
1.66920304	17	118	7	1	1	7
1.93440294	20	135	10	1	1	7
3.33840609	27	185	32	2	1	8
4.00920701	32	216	35	2	1	8
4.94520807	39	270	38	2	1	8
5.50680900	43	298	41	2	1	8
55.45809698	216	1095	726	2	4	11
64.24091291	250	1262	818	0	3	8
64.36571312	252	1274	819	0	4	10
68.25011992	300	1481	869	1	3	13
70.57452393	320	1577	892	1	4	14
75.61333299	361	1779	937	1	3	15
79.62254000	372	1832	956	2	5	27
84.41174793	410	2022	997	1	4	16
89.31015706	449	2192	1038	1	4	17
91.07296014	464	2261	1056	1	3	15
96.09616899	501	2408	1107	1	4	19
101.38457799	537	2574	1155	1	3	17
106.32978702	551	2660	1174	2	5	31
107.10978794	567	2719	1175	1	4	11
107.29698801	570	2735	1176	1	3	9
113.33419895	585	2743	1408	1	4	10
124.64421892	661	3072	1475	1	5	22
125.53342009	663	3085	1479	1	5	25
126.67222214	665	3098	1487	1	5	24
127.53022408	668	3121	1491	1	5	26
128.71582603	671	3145	1495	1	5	29
130.10422802	674	3169	1503	1	5	28
241.55082393	1039	5034	2323	2	2	12
241.70682406	1041	5039	2324	2	2	12
