finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
0.34319997	8	34	0	2	1	8
0.46799994	12	44	0	2	1	8
0.73320103	19	67	0	2	1	8
0.84240103	23	77	0	2	1	8
1.09200191	30	99	0	1	4	7
1.15440202	33	106	0	1	4	7
1.32600188	39	126	0	1	4	7
1.38840199	42	133	0	1	4	7
37.28706503	560	1562	168	2	10	16
39.00306797	564	1565	196	2	10	18
62.01310897	816	2147	404	2	11	14
62.62151003	820	2152	420	2	11	16
63.30791092	822	2150	441	1	13	15
64.18151307	825	2151	464	1	13	17
89.78115797	921	2341	771	2	11	15
90.04635811	925	2351	773	2	11	15
91.24756002	935	2365	805	2	11	15
91.48155999	939	2375	807	2	11	15
91.99636102	942	2378	820	2	11	18
92.24596190	945	2384	824	2	11	18
99.57797503	956	2339	1066	1	14	13
99.98357511	959	2341	1082	1	14	15
188.54493093	1132	2584	1988	1	14	14
188.71653104	1135	2591	1990	1	14	14
189.27813196	1141	2599	2006	1	14	14
189.41853309	1144	2606	2008	1	14	14
192.11733699	1147	2577	2119	2	15	17
219.55778503	1230	2642	2488	2	11	10
223.56699204	1270	2713	2560	2	11	17
223.87899303	1274	2722	2565	2	11	17
231.78820705	1303	2731	2797	0	15	8
233.73820996	1309	2735	2834	2	16	15
233.94101095	1312	2741	2835	2	16	21
234.22181106	1315	2747	2836	2	16	21
402.32770610	2395	5435	3704	1	14	9
403.66930890	2419	5481	3736	1	14	16
403.80970907	2422	5487	3739	1	14	16
406.19651294	2425	5467	3807	2	15	20
409.22291899	2446	5506	3847	2	16	11
560.18438411	3893	9046	4641	2	16	18
finished uploading
travel-2
k=40
time	expanded	visited	terminated	depth	cost	trace
0.37439990	8	36	0	2	1	8
0.53040004	13	50	0	2	1	8
0.81120086	20	75	0	2	1	8
0.92040086	24	86	0	2	1	8
1.23240209	34	118	0	1	4	7
1.32600188	38	129	0	1	4	7
1.51320195	44	151	0	1	4	7
1.57560205	47	159	0	1	4	7
50.38808799	709	2189	138	2	10	16
53.28969288	716	2196	183	2	10	18
65.47331500	877	2602	354	2	11	14
66.37811589	884	2614	374	2	11	16
82.64894485	932	2656	687	2	11	15
82.94534492	936	2667	689	2	11	15
84.25574803	950	2700	717	2	11	15
84.95774889	954	2711	719	2	11	15
89.51295686	977	2743	840	1	13	15
90.62055898	980	2744	868	1	13	17
245.48203087	1305	3328	2191	2	11	10
248.66443586	1328	3380	2231	2	11	18
248.96083689	1331	3387	2236	2	11	18
262.84486103	1381	3428	2585	1	14	13
263.34406185	1384	3431	2601	1	14	15
414.27432704	2446	6388	3267	2	11	17
414.57072806	2450	6400	3271	2	11	17
423.16634297	2484	6423	3510	1	14	14
423.36914301	2487	6431	3512	1	14	14
424.11794400	2499	6459	3528	1	14	14
424.28954506	2502	6467	3530	1	14	14
427.22234988	2517	6477	3640	2	15	17
574.53340888	3829	10269	4219	1	14	9
579.63461804	3866	10323	4393	2	15	20
579.69701791	3870	10334	4394	0	15	8
582.28662205	3880	10356	4436	2	16	15
582.41142201	3882	10361	4436	2	16	17
582.53622293	3884	10366	4436	2	16	17
582.67662287	3886	10372	4436	2	16	18
582.83262300	3888	10377	4437	2	16	18
582.89502287	3890	10381	4438	2	16	12
583.12902403	3893	10389	4439	2	16	21
finished uploading
travel-3
k=40
time	expanded	visited	terminated	depth	cost	trace
0.39000010	8	36	0	2	1	8
0.56160092	13	50	0	2	1	8
0.82680106	20	75	0	2	1	8
0.95160103	24	86	0	2	1	8
1.21680212	34	118	0	1	4	7
1.31040192	38	129	0	1	4	7
1.49760199	44	151	0	1	4	7
1.56000209	47	159	0	1	4	7
56.25369906	727	2362	141	2	10	16
58.65610313	734	2370	182	2	10	18
69.77892208	866	2700	354	2	11	14
71.40132499	877	2718	396	2	11	16
170.82030010	1089	3125	1370	2	11	15
171.13229990	1093	3136	1372	2	11	15
172.41150308	1107	3169	1392	2	11	15
172.66110301	1111	3180	1394	2	11	15
173.37870407	1122	3212	1400	2	11	18
173.62830496	1125	3220	1404	2	11	18
179.88391590	1162	3281	1550	1	13	15
180.75751710	1165	3284	1571	1	13	17
302.74973106	1353	3584	2477	2	11	10
306.27533793	1391	3674	2537	2	11	17
306.57173800	1395	3685	2542	2	11	17
315.08935308	1417	3677	2805	1	14	13
315.58855391	1420	3680	2821	1	14	15
548.49696302	2847	7689	4052	1	14	14
548.68416309	2850	7697	4054	1	14	14
549.58896494	2862	7721	4078	1	14	14
549.74496508	2865	7729	4080	1	14	14
553.66057205	2898	7779	4221	2	15	17
697.29002404	4278	11781	4738	1	14	9
699.00602698	4308	11854	4769	1	14	16
699.16202807	4311	11862	4772	1	14	16
703.10883498	4325	11863	4911	2	15	20
703.14003491	4327	11869	4911	0	15	8
705.60483909	4339	11896	4954	2	16	15
705.72963905	4341	11901	4954	2	16	17
705.83883905	4343	11906	4954	2	16	17
705.97923994	4345	11912	4954	2	16	18
706.13524008	4347	11917	4955	2	16	18
finished uploading
travel-4
k=40
time	expanded	visited	terminated	depth	cost	trace
27.50284791	410	1231	137	2	11	13
27.64324903	413	1239	137	2	11	13
225.24879599	1544	4215	1688	1	14	12
225.35799599	1547	4223	1688	1	14	12
670.89477801	3549	9519	4788	2	16	14
670.97277904	3550	9521	4788	2	16	14
timedout: 5671	14921	8473
finished uploading
travel-5
k=40
time	expanded	visited	terminated	depth	cost	trace
64.39691305	718	2823	337	2	11	13
64.58411288	721	2835	337	2	11	13
726.33727503	3662	13691	4194	1	14	12
726.49327588	3665	13703	4194	1	14	12
timedout: 5396	20921	4911
finished uploading
travel-6
k=40
time	expanded	visited	terminated	depth	cost	trace
0.45240092	8	46	0	2	1	8
0.59280109	12	59	0	2	1	8
1.82520294	38	170	0	1	4	7
1.90320301	41	180	0	1	4	7
4.16520691	72	306	11	2	5	15
4.55520797	76	319	11	2	5	15
9.98401690	133	542	43	2	5	17
10.51441813	139	565	43	2	5	17
45.44287992	470	1943	135	1	8	14
45.69248009	473	1953	135	1	8	14
86.36175203	894	3626	197	1	8	16
86.73615193	899	3646	197	1	8	16
90.77655911	936	3773	263	2	10	18
130.74382901	1190	4736	527	2	11	14
130.96222997	1192	4744	529	2	11	14
132.69383311	1208	4800	554	2	11	16
217.40198207	1723	6796	837	2	9	26
218.47838402	1726	6808	841	2	9	26
220.45958710	1733	6835	845	2	9	26
221.55158901	1736	6847	849	2	9	26
389.51708412	2161	8211	2304	2	11	15
389.79788399	2165	8225	2306	2	11	15
390.92108607	2180	8280	2316	2	11	18
391.23308706	2183	8292	2320	2	11	18
393.93189192	2202	8336	2389	1	13	17
503.61568403	2589	9746	2675	2	9	31
504.73888612	2593	9763	2679	2	9	31
506.87609005	2602	9800	2683	2	9	31
507.99929190	2606	9817	2687	2	9	31
640.02232409	3203	11928	3497	2	11	10
644.26553106	3241	12047	3573	2	11	17
644.62433195	3245	12062	3578	2	11	17
665.57516909	3334	12334	3908	1	14	15
1055.51345396	4669	17796	5191	2	10	19
1055.96585512	4672	17807	5192	2	10	19
