finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
0.18719983	8	34	0	0	3	8
0.73320103	24	97	7	0	4	9
1.71600294	48	189	21	0	5	15
2.58960390	60	249	34	0	5	16
2.82360506	62	256	44	0	6	14
4.77360797	107	420	67	0	5	15
6.05280995	135	529	79	0	6	14
10.21801805	181	748	151	1	6	10
10.56121802	194	781	158	0	6	16
11.21641898	202	823	166	1	5	9
13.27562284	230	972	182	1	5	7
13.57202387	233	987	188	1	5	7
21.06003690	363	1393	340	0	7	24
22.24563885	373	1438	355	0	7	19
22.37043905	375	1442	360	1	7	18
24.36724305	389	1505	402	0	7	25
24.61684299	391	1509	412	0	7	25
31.65245485	429	1744	541	0	7	26
33.69605899	445	1828	581	0	8	23
33.71165895	445	1827	581	0	8	21
33.71165895	445	1826	581	1	8	16
34.81926084	451	1862	590	0	8	22
42.69727492	589	2341	687	0	8	21
44.10127687	601	2421	688	1	6	7
44.52247787	604	2436	696	1	6	7
50.46608806	723	2828	760	1	7	16
58.12570190	796	3131	876	0	7	22
58.26610184	800	3141	878	0	7	22
62.57170987	849	3345	940	0	7	24
84.49138594	1007	3978	1139	0	8	21
84.58498597	1009	3982	1140	1	8	16
84.66298699	1011	3986	1141	1	8	15
137.06447887	1266	5477	1777	0	9	23
142.97688890	1342	5769	1843	1	8	15
144.80209184	1374	5872	1872	0	8	20
149.80877399	1420	6074	1930	1	8	14
154.98798394	1477	6301	1996	1	7	15
156.50118589	1485	6341	2012	1	9	26
158.46678996	1528	6439	2039	0	8	21
160.77559400	1547	6530	2064	1	8	17
finished uploading
travel-2
k=40
time	expanded	visited	terminated	depth	cost	trace
0.35880089	14	59	1	0	3	8
0.49920106	16	71	2	0	4	10
0.96720195	27	123	8	0	4	9
3.27600598	83	347	32	0	5	16
3.52560687	84	352	42	0	6	14
3.52560687	84	351	42	0	6	12
3.74400687	86	364	42	0	6	18
3.97800708	88	377	43	0	6	16
5.07000899	111	456	64	0	5	15
5.28840995	113	468	65	0	6	17
6.95761299	147	616	81	1	6	11
7.14481306	150	632	82	1	5	9
7.72201395	158	667	91	0	6	18
8.75161600	174	741	105	1	5	7
9.03241587	177	758	108	1	5	7
9.81241798	193	828	117	0	6	18
10.26481795	198	858	118	0	6	18
10.32721901	200	863	119	0	6	14
10.38961887	202	868	120	1	6	10
10.98241997	209	901	126	0	6	16
11.43481994	215	934	127	0	6	18
13.35362387	235	1021	173	0	7	16
13.58762407	237	1034	173	0	7	16
15.63122797	254	1119	192	0	6	17
15.83402801	255	1130	192	0	6	18
16.30202889	260	1159	194	0	6	18
17.76843190	286	1253	211	0	6	18
19.81203508	326	1389	251	0	6	18
23.10364103	372	1606	295	0	6	16
23.21284103	377	1621	296	0	5	15
34.46046090	544	2360	425	1	6	7
34.81926203	548	2380	428	1	6	7
39.90487003	626	2651	479	0	7	19
40.43527102	633	2677	489	1	7	18
44.78767896	663	2842	574	0	7	26
45.31807995	667	2838	609	0	8	23
45.33367991	667	2837	609	0	8	19
45.33367991	667	2836	609	0	8	17
45.34927988	667	2835	609	1	8	16
45.34927988	667	2834	609	1	8	13
finished uploading
travel-3
k=40
time	expanded	visited	terminated	depth	cost	trace
0.29640102	9	47	1	0	3	8
0.46800089	13	64	3	0	4	10
1.07640195	30	138	8	0	4	9
3.21360588	85	346	35	0	5	15
4.22760797	99	416	50	0	5	16
4.60200787	104	431	65	0	6	14
4.60200787	104	430	65	0	6	12
4.86720896	106	443	65	0	6	18
5.07000899	108	456	65	0	6	17
5.55360985	112	482	69	0	6	16
8.95441604	181	777	92	1	5	9
9.31321692	186	806	93	1	6	11
9.81241798	196	850	95	0	6	17
10.01521802	197	861	95	0	6	18
10.67041898	207	900	107	0	6	18
12.65162301	228	1010	136	0	5	15
12.94802308	234	1033	138	0	6	16
16.22402906	282	1285	152	1	5	7
16.50482893	285	1302	155	1	5	7
17.61243105	297	1358	164	0	6	18
18.18963194	302	1388	165	0	6	18
18.47043300	305	1404	166	0	6	18
18.54843307	307	1409	167	0	6	14
18.68883300	311	1419	169	1	6	10
21.46563792	338	1568	201	0	6	18
22.79164004	345	1597	230	0	6	18
23.44684100	350	1615	248	0	6	18
27.83044887	393	1828	322	0	7	16
28.06445003	395	1841	322	0	7	16
31.01285505	427	1981	357	0	6	16
45.95768094	689	2938	577	1	6	7
46.31648207	693	2958	580	1	6	7
64.14731288	946	3985	745	0	7	19
64.38131285	950	3995	753	1	7	18
66.34691691	965	4067	793	0	7	25
67.29851794	969	4070	837	0	7	25
71.79132605	994	4231	915	0	7	24
75.02053189	1015	4344	980	0	7	26
78.48373795	1039	4451	1050	0	8	23
78.48373795	1039	4450	1050	0	8	21
finished uploading
travel-4
k=40
time	expanded	visited	terminated	depth	cost	trace
3.74400616	87	405	36	0	5	14
5.30400920	133	567	51	0	5	12
11.46602011	239	1022	130	0	7	20
25.56844401	453	2046	245	0	7	16
34.75686121	557	2525	378	1	7	12
35.03766108	560	2541	378	1	7	12
35.44326210	567	2567	380	0	7	18
35.77086210	571	2587	380	0	7	22
36.08286309	575	2606	381	0	7	20
36.39486313	579	2625	382	0	7	19
39.28086901	607	2725	450	0	8	20
53.30529308	868	3706	556	0	7	19
59.90410519	981	4133	658	0	7	18
60.48130608	990	4174	663	1	7	15
64.24091220	1035	4332	738	0	7	14
84.08414721	1259	5407	817	0	7	24
84.30254817	1262	5414	825	0	7	24
84.86414909	1267	5436	831	0	7	24
85.81575012	1273	5467	845	0	7	24
87.20415306	1283	5517	859	0	7	22
87.42255306	1286	5524	867	0	7	22
87.96855402	1291	5545	874	0	7	22
88.92015600	1297	5576	888	0	7	22
104.34858298	1459	6267	1105	0	7	22
114.48860121	1553	6713	1258	0	8	18
126.01702118	1661	7189	1326	0	8	20
158.57427812	1872	8173	1780	0	9	26
159.08907914	1876	8192	1783	0	9	28
159.58828020	1880	8211	1786	0	9	26
160.91428208	1888	8256	1797	0	9	21
161.33548307	1892	8276	1798	1	9	21
162.44308519	1898	8310	1808	0	9	28
163.02028608	1902	8327	1817	1	9	22
181.24111819	2182	9561	1911	1	7	13
185.14112520	2251	9814	1970	0	7	20
201.22475314	2500	10739	2142	0	8	18
331.12618113	3655	16664	3216	0	9	21
338.08379316	3717	16981	3258	1	9	17
435.83356500	4454	19989	4772	1	9	23
436.27036619	4457	20005	4772	1	9	23
finished uploading
travel-5
k=40
time	expanded	visited	terminated	depth	cost	trace
9.57841682	150	982	54	0	5	14
14.43002486	253	1505	78	0	5	12
30.37325287	440	2696	168	0	6	15
33.94565892	477	2895	221	0	6	16
37.20606494	500	3066	254	0	7	20
44.16367698	597	3651	277	0	6	15
85.83135080	1089	6762	476	0	6	16
86.54895186	1097	6803	481	0	6	16
95.89336801	1191	7349	547	0	6	15
100.68257689	1226	7611	585	0	7	16
119.19980884	1396	8573	896	0	7	14
122.83461595	1425	8784	897	0	7	20
123.72381687	1430	8826	898	1	7	12
124.17621779	1433	8850	898	1	7	12
127.93582487	1456	9028	922	0	7	18
128.41942477	1460	9055	922	0	7	20
128.91862583	1464	9083	922	0	7	19
129.41782689	1468	9111	923	0	7	22
129.90142798	1472	9139	924	0	7	20
130.40062881	1476	9167	925	0	7	19
137.98224187	1522	9421	1106	0	7	21
140.05704594	1537	9499	1146	0	7	19
142.24105000	1558	9590	1204	0	8	20
144.58105397	1566	9666	1217	0	8	21
196.41994500	2258	13450	1458	0	8	17
231.78520679	2722	15957	1603	0	7	20
232.50280786	2730	16000	1608	0	7	20
235.29521298	2763	16166	1633	0	7	19
238.41521883	2786	16287	1706	0	7	19
303.32693291	3379	20123	2283	0	7	18
309.02094293	3433	20516	2299	1	7	15
338.94179487	3751	22235	2539	0	7	20
339.14459586	3754	22247	2541	0	7	20
339.97139692	3759	22279	2547	0	7	20
340.17419696	3762	22291	2549	0	7	20
340.98539877	3767	22323	2555	0	7	18
341.18819880	3770	22335	2557	0	7	18
341.98380089	3775	22367	2563	0	7	18
342.18660092	3778	22379	2565	0	7	18
417.83113384	4364	26188	2902	0	7	24
finished uploading
travel-6
k=40
time	expanded	visited	terminated	depth	cost	trace
0.48360085	9	68	1	0	3	8
2.27760386	38	260	9	0	4	10
7.75321388	132	824	50	0	5	12
8.11201477	136	852	51	0	5	13
8.34601498	142	876	55	0	5	14
8.43961477	144	884	57	0	5	15
10.07761788	160	992	85	0	5	16
22.85404086	357	2075	214	1	5	9
30.29525399	432	2588	323	0	5	15
36.70686483	511	3116	369	1	5	7
37.14366579	514	3141	372	1	5	7
40.52887177	546	3364	388	0	6	17
44.22607780	566	3565	390	0	6	15
45.59888101	574	3641	392	0	6	16
48.23528481	595	3802	400	0	6	17
48.34448481	597	3810	402	0	6	17
48.68768597	603	3834	408	0	6	17
51.79209089	626	3988	458	0	6	16
54.02289486	643	4110	484	0	6	18
54.52209592	652	4143	497	0	6	17
74.95813179	841	5293	685	1	6	11
78.62413883	921	5644	723	0	6	17
115.78340387	1375	8394	974	0	6	17
169.15109777	1861	11431	1492	0	6	16
213.18997478	2342	14135	2111	0	7	20
214.89037800	2349	14205	2115	0	7	20
217.07438183	2359	14300	2115	0	7	19
221.66078997	2379	14501	2119	0	7	18
225.85719681	2399	14691	2121	0	7	20
227.93200088	2408	14782	2123	0	7	20
228.36880183	2410	14801	2123	0	7	19
228.79000187	2412	14820	2123	0	7	19
234.26561189	2428	14973	2128	0	7	18
234.67121291	2430	14992	2128	0	7	20
236.35601592	2438	15068	2132	0	7	19
236.79281592	2440	15087	2132	0	7	18
237.21401691	2442	15107	2132	0	7	18
237.24521685	2442	15106	2133	0	7	19
238.93001986	2450	15182	2136	0	7	19
239.35122085	2452	15202	2136	0	7	19
finished uploading
travel-7
k=40
time	expanded	visited	terminated	depth	cost	trace
0.26520109	9	46	0	0	3	8
1.13880205	29	150	7	0	4	9
2.79240513	57	300	26	0	5	15
3.96240711	69	380	39	0	5	16
4.27440810	71	392	49	0	6	14
7.55041409	136	682	75	0	5	15
9.20401716	164	820	91	0	6	14
14.57042599	210	1119	163	1	6	10
15.42842698	234	1201	173	0	6	16
16.31762910	242	1258	181	1	5	9
19.84323502	284	1523	206	1	5	7
20.28003597	287	1544	215	1	5	7
31.49645615	433	2148	397	0	7	19
31.62125611	435	2152	402	1	7	18
33.85206008	449	2242	438	0	7	25
34.27326107	451	2244	457	0	7	25
39.76447010	472	2447	529	0	7	24
43.38367701	492	2581	590	0	7	26
46.09808111	508	2700	630	0	8	23
46.11368108	508	2699	630	0	8	21
46.11368108	508	2698	630	1	8	16
48.14168501	516	2767	642	0	8	22
64.41251302	747	3777	777	0	8	21
66.34691715	762	3907	783	1	6	7
66.92411804	765	3928	794	1	6	7
76.19053411	901	4476	878	1	7	16
85.48815012	973	4869	993	0	7	22
85.69095111	978	4877	1000	0	7	22
91.97776198	1032	5161	1069	0	7	24
109.62139297	1193	5990	1287	0	8	21
109.69939303	1195	5994	1288	1	8	16
109.77739310	1197	5998	1289	1	8	15
176.20231009	1452	8077	1929	0	9	23
187.37192917	1604	8741	2024	1	8	15
191.47473717	1668	8980	2078	0	8	20
200.50715303	1754	9477	2173	1	8	14
209.50836802	1825	9868	2273	1	7	15
211.53637218	1833	9922	2293	1	9	26
213.86077619	1881	10039	2321	0	8	21
217.24598217	1901	10175	2349	1	8	17
finished uploading
travel-8
k=40
time	expanded	visited	terminated	depth	cost	trace
10.45201898	116	1302	31	0	5	11
24.38284302	244	2705	94	0	5	11
25.44364500	250	2782	102	0	5	13
26.00524592	254	2831	103	0	5	13
52.93089294	520	5614	171	0	6	15
54.24129581	530	5729	172	0	6	15
90.33975887	791	8951	240	0	6	14
104.39538383	899	10230	292	0	6	14
108.03018999	921	10523	293	0	6	14
143.25505185	1228	13686	532	0	6	15
144.34705400	1240	13788	538	0	6	15
144.89305496	1246	13839	541	0	6	14
145.96945691	1258	13941	547	0	6	14
148.93346190	1271	14126	551	0	6	14
150.61826491	1278	14225	551	0	6	15
