finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
0.18720102	8	34	0	0	3	8
0.71760201	24	97	7	0	4	9
1.68480301	48	189	21	0	5	15
2.55840492	60	249	34	0	5	16
2.79240489	62	256	44	0	6	14
5.17920899	114	451	73	0	5	15
6.30241084	138	542	84	0	6	14
10.28041792	181	748	151	1	6	10
10.45201898	184	763	152	1	5	9
11.10721993	191	815	153	1	5	7
11.40362000	194	830	159	1	5	7
13.35362387	224	939	203	1	7	18
15.21002698	238	1011	238	1	8	16
16.11482882	253	1057	252	0	6	16
23.63404202	381	1483	387	0	7	24
24.97564387	391	1530	398	0	7	19
25.22524500	393	1530	411	0	7	25
25.58404493	395	1532	427	0	7	25
32.24525690	431	1755	549	0	7	26
34.30446005	447	1839	589	0	8	23
34.30446005	447	1838	589	0	8	21
35.42766190	453	1874	598	0	8	22
39.82686996	521	2148	633	1	6	7
40.23247099	524	2163	641	1	6	7
41.77687383	558	2270	658	1	7	16
46.47248197	619	2521	713	1	8	16
46.55048203	621	2525	714	1	8	15
60.37210584	757	3108	921	0	8	21
72.68052793	916	3719	1079	0	7	22
72.82092786	920	3729	1081	0	7	22
75.58213305	949	3850	1133	0	7	24
86.26815200	1073	4335	1293	0	8	21
126.11062193	1266	5477	1776	0	9	23
130.01062894	1301	5627	1821	1	8	15
131.32103086	1320	5693	1839	1	8	14
134.48783588	1362	5849	1895	1	7	15
136.00103903	1370	5889	1911	1	9	26
137.54544187	1390	5944	1941	1	8	17
139.41744494	1412	6012	1982	1	7	16
144.87745500	1457	6241	2039	1	7	16
finished uploading
travel-2
k=40
time	expanded	visited	terminated	depth	cost	trace
0.34320092	14	59	1	0	3	8
0.48360085	16	71	2	0	4	10
0.93600202	27	123	8	0	4	9
3.19800591	83	347	32	0	5	16
3.43200588	84	352	42	0	6	14
3.43200588	84	351	42	0	6	12
3.63480687	86	364	42	0	6	18
3.85320687	88	377	43	0	6	16
4.89840889	102	459	53	1	6	11
5.08560896	105	475	54	1	5	9
5.66280985	113	524	55	1	5	7
5.92801094	116	541	58	1	5	7
6.45841193	129	597	64	1	6	10
7.45681286	151	671	89	0	5	15
7.65961385	153	683	90	0	6	17
9.14161587	184	800	111	0	6	18
9.85921788	197	844	128	0	6	18
10.31161785	202	874	129	0	6	18
10.37401891	204	879	130	0	6	14
10.95122004	211	912	136	0	6	16
11.40362000	217	945	137	0	6	18
13.01042295	235	1021	173	0	7	16
13.22882390	237	1034	173	0	7	16
16.23962903	293	1246	199	1	6	7
16.58282900	297	1266	202	1	6	7
18.42363286	320	1362	216	1	7	18
20.79483700	336	1450	266	1	8	16
20.79483700	336	1449	266	1	8	13
21.07563686	338	1462	266	1	8	20
21.35643792	340	1475	267	1	8	17
21.66843796	342	1489	268	1	8	18
23.69644189	368	1615	285	2	8	11
24.10204291	377	1647	290	0	6	17
24.28924298	378	1658	290	0	6	18
24.74164391	383	1687	292	0	6	18
26.00524592	408	1779	309	0	6	18
27.95524883	442	1909	349	0	6	18
31.02845502	482	2103	393	0	6	16
31.15325499	487	2118	394	0	5	15
44.19487786	678	2917	552	0	7	19
finished uploading
travel-3
k=40
time	expanded	visited	terminated	depth	cost	trace
0.29640102	9	47	1	0	3	8
0.46800089	13	64	3	0	4	10
1.04520202	30	138	8	0	4	9
3.02640486	85	346	35	0	5	15
4.00920701	99	416	50	0	5	16
4.39920783	104	431	65	0	6	14
4.39920783	104	430	65	0	6	12
4.77360892	106	443	65	0	6	18
4.99200892	108	456	65	0	6	17
5.47561002	112	482	69	0	6	16
6.19321084	123	542	76	1	5	9
6.53641200	128	571	77	1	6	11
7.51921296	143	655	79	1	5	7
7.78441405	146	672	82	1	5	7
7.89361405	148	677	86	1	6	10
11.43481994	218	965	120	0	6	17
11.63762093	219	976	120	0	6	18
12.27722192	229	1015	132	0	6	18
13.93082500	250	1125	161	0	5	15
14.22722483	256	1148	163	0	6	16
