finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
0.21840096	8	34	0	0	3	8
1.49760294	27	117	14	1	7	18
3.10440588	45	189	37	0	4	9
3.82200694	57	236	43	1	8	16
8.31481481	95	416	83	2	11	31
10.03081799	105	463	106	1	5	9
11.21641994	116	521	120	1	5	7
12.01202083	121	539	135	1	5	7
19.28163385	181	802	227	1	9	29
20.42043591	185	818	248	1	9	28
23.33764076	197	857	281	2	13	28
25.14724493	208	906	290	2	12	27
26.36404681	214	927	298	2	12	28
32.26085687	258	1134	375	0	5	15
33.38405895	270	1194	388	0	5	16
35.08446193	281	1242	421	0	6	14
41.40247297	327	1456	503	1	9	29
42.97807598	338	1509	524	1	6	7
43.44607687	342	1525	534	1	6	7
46.14488077	375	1630	573	1	9	27
49.32728696	400	1718	611	1	10	25
53.49249387	439	1873	655	1	10	26
54.81849694	447	1907	672	1	10	26
58.17250299	465	1984	716	1	10	26
59.71690488	475	2026	736	1	10	24
60.46570683	481	2047	743	1	10	25
65.22371483	513	2160	832	1	9	27
85.58175087	590	2560	1044	1	11	26
86.56455183	593	2572	1053	1	11	25
93.70936489	608	2644	1113	3	16	41
97.32857084	626	2707	1128	2	14	39
102.00857997	637	2764	1153	2	14	38
104.55138397	643	2793	1167	2	14	37
110.94739485	670	2900	1203	2	13	45
127.71742487	727	3151	1312	2	13	44
133.52063489	738	3198	1356	2	13	44
139.33944488	749	3245	1400	2	13	43
189.35313296	892	4045	1716	3	15	47
196.18594480	901	4068	1758	3	17	41
207.27756381	920	4137	1810	2	15	39
finished uploading
travel-2
k=40
time	expanded	visited	terminated	depth	cost	trace
0.62400103	14	59	1	0	3	8
0.76440096	16	71	2	0	4	10
1.27920198	26	120	5	1	6	10
1.98120308	34	169	6	1	5	7
2.30880404	37	185	12	1	5	7
3.88440704	57	282	31	1	8	18
6.47401094	83	416	61	0	4	9
7.05121207	92	450	64	1	8	13
8.23681402	102	514	65	1	6	7
8.70481491	106	533	73	1	6	7
12.30842209	129	625	109	2	12	29
14.57042503	146	709	127	1	6	11
15.53762698	152	741	132	2	10	19
15.72482800	155	756	134	1	5	9
16.30202889	161	786	140	1	8	17
17.33162999	167	817	145	2	12	28
19.00083303	173	849	153	2	12	27
21.18483686	179	880	164	3	14	30
22.19883895	187	913	171	2	11	19
27.31564808	218	1056	209	1	8	16
27.76804900	227	1082	214	1	8	15
29.17205095	251	1162	230	1	8	16
34.44485998	290	1356	268	1	8	20
34.61646104	292	1362	271	1	7	18
35.55246186	299	1389	286	1	9	17
37.12806487	311	1445	292	1	9	18
40.52887106	333	1544	328	1	8	17
43.22767591	347	1620	363	1	9	18
45.53647995	362	1684	385	1	10	26
46.42568088	368	1708	391	1	10	27
47.12768292	372	1726	395	1	10	25
48.09488392	379	1756	403	1	9	21
48.28208494	381	1761	408	1	9	20
61.79170799	437	2006	569	2	11	22
64.17851305	449	2041	602	2	10	17
69.12372088	466	2142	644	2	7	8
70.44972396	472	2181	656	2	7	8
72.32172704	478	2209	672	2	12	27
73.89733005	485	2226	684	2	13	28
75.06733203	493	2247	694	2	12	20
finished uploading
travel-3
k=40
time	expanded	visited	terminated	depth	cost	trace
0.31200099	9	47	1	0	3	8
0.48360109	13	64	3	0	4	10
1.12320209	23	122	7	1	5	9
1.73160291	30	164	11	1	6	11
2.91720510	41	218	16	2	10	19
4.16520691	59	316	24	1	5	7
4.49280810	62	332	30	1	5	7
5.02320910	68	353	40	1	8	17
6.25561094	82	423	49	1	8	18
