finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
0.20279980	8	34	0	0	3	8
0.73320103	24	97	7	0	4	9
1.73160291	48	189	21	0	5	15
2.60520387	60	249	34	0	5	16
2.85480499	62	256	44	0	6	14
5.25720882	114	451	73	0	5	15
6.36481094	138	542	84	0	6	14
11.05962086	181	748	151	1	6	10
11.26242185	184	763	152	1	5	9
11.94882298	191	815	153	1	5	7
12.26082397	194	830	159	1	5	7
14.66422796	224	939	203	1	7	18
16.89323902	238	1011	238	1	8	16
17.92283988	253	1057	252	0	6	16
25.70725393	381	1483	387	0	7	24
27.01765585	391	1530	398	0	7	19
27.36085701	393	1528	417	0	7	25
27.68845797	395	1532	430	0	7	25
34.33406901	431	1755	552	0	7	26
36.42447281	447	1839	592	0	8	23
36.42447281	447	1838	592	0	8	21
37.53207493	453	1875	600	0	8	22
41.93128300	521	2148	636	1	6	7
42.33688283	524	2163	644	1	6	7
43.88128591	558	2270	661	1	7	16
48.62369394	619	2521	716	1	8	16
48.70169401	621	2525	717	1	8	15
62.61691880	757	3108	924	0	8	21
75.01894093	916	3719	1082	0	7	22
75.15934086	920	3729	1084	0	7	22
77.93614602	949	3850	1136	0	7	24
89.66736603	1073	4335	1294	0	8	21
132.33344102	1266	5477	1778	0	9	23
136.68584895	1301	5627	1823	1	8	15
138.02745080	1320	5693	1841	1	8	14
141.31905699	1362	5849	1897	1	7	15
142.86345983	1370	5889	1913	1	9	26
144.59506297	1390	5944	1943	1	8	17
146.52946591	1412	6012	1984	1	7	16
151.49027491	1457	6241	2041	1	7	16
finished uploading
travel-2
k=40
time	expanded	visited	terminated	depth	cost	trace
0.46800017	14	59	1	0	3	8
0.63960123	16	71	2	0	4	10
1.20120215	27	123	8	0	4	9
3.94680715	83	347	32	0	5	16
4.18080711	84	352	42	0	6	14
4.19640708	84	351	42	0	6	12
4.39920712	86	364	42	0	6	18
4.61760807	88	377	43	0	6	16
5.70961022	102	459	53	1	6	11
5.97481012	105	475	54	1	5	9
6.64561105	113	524	55	1	5	7
6.92641211	116	541	58	1	5	7
7.47241306	129	597	64	1	6	10
8.59561515	151	671	89	0	5	15
8.81401515	153	683	90	0	6	17
10.49881816	184	800	111	0	6	18
11.29441905	197	844	128	0	6	18
11.77802014	202	874	129	0	6	18
11.84042001	204	879	130	0	6	14
12.48002219	211	912	136	0	6	16
13.07282305	217	945	137	0	6	18
14.83562613	235	1021	173	0	7	16
15.08522606	237	1034	173	0	7	16
18.37683201	293	1246	199	1	6	7
18.73563313	297	1266	202	1	6	7
20.45163608	320	1362	217	1	7	18
23.22844005	336	1450	268	1	8	16
23.22844005	336	1449	268	1	8	13
23.52484107	338	1462	268	1	8	20
23.82124114	340	1475	269	1	8	17
24.14884210	342	1489	270	1	8	18
26.33284616	368	1615	287	2	8	11
26.75404716	377	1647	292	0	6	17
26.95684719	378	1658	292	0	6	18
27.42484808	383	1687	294	0	6	18
28.81325006	408	1779	311	0	6	18
31.16885424	442	1909	351	0	6	18
