finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
0.07800007	12	25	0	0	3	8
0.28080106	28	57	8	0	4	9
0.73320198	60	119	23	0	5	15
1.12320209	75	153	37	0	5	16
1.20120192	76	150	47	0	6	14
1.85640407	108	215	68	0	5	15
2.44920492	139	278	84	0	6	14
2.58960485	142	283	90	0	6	16
8.67361498	330	668	304	0	7	19
9.09481597	337	677	323	0	7	25
9.48481703	339	680	340	0	7	25
11.04482007	360	727	412	0	7	24
12.44882202	376	764	464	0	7	26
13.47842407	396	798	514	0	8	23
13.47842407	396	797	514	0	8	21
13.99322486	404	815	525	0	8	22
16.85302997	500	987	610	0	8	21
24.12264299	710	1437	759	0	7	22
24.26304293	714	1447	761	0	7	22
26.55624700	761	1544	844	0	7	24
32.76605797	893	1824	1020	0	8	21
32.87525797	895	1828	1022	0	8	20
32.98445892	897	1832	1024	0	8	21
40.86487293	992	2035	1226	0	8	25
50.78649092	1094	2247	1553	0	9	23
58.88290501	1284	2614	1791	0	8	20
59.05450487	1291	2628	1794	0	7	18
62.39391088	1362	2775	1877	0	7	24
113.30260301	2093	4286	3308	0	9	25
113.47420287	2095	4290	3313	0	9	25
113.84860396	2099	4295	3324	0	9	33
121.05581594	2175	4450	3502	0	9	28
121.83581805	2178	4454	3526	0	9	28
123.48942089	2199	4491	3565	0	9	36
124.30062199	2201	4494	3586	0	9	36
124.97142291	2203	4494	3596	0	9	36
128.15382886	2232	4553	3679	0	9	39
132.41263604	2234	4529	3821	0	9	37
133.56703806	2236	4529	3857	0	9	37
159.05748296	2411	4929	4701	0	9	38
finished uploading
travel-2
k=40
time	expanded	visited	terminated	depth	cost	trace
0.09360099	9	23	1	0	3	8
0.14040089	13	32	3	0	4	10
0.37440109	30	74	8	0	4	9
1.27920294	78	193	34	0	5	15
1.73160291	92	231	49	0	5	16
1.95000386	97	238	64	0	6	14
1.95000386	97	237	64	0	6	12
1.99680400	99	242	64	0	6	18
2.04360390	101	247	64	0	6	17
2.18400407	105	257	68	0	6	16
3.54120708	170	416	98	0	6	17
3.57240701	171	418	99	0	6	18
3.90000701	181	441	111	0	6	18
4.49280787	202	498	133	0	5	15
4.61760902	208	513	135	0	6	16
5.74080992	258	647	153	0	6	18
5.83441091	261	655	154	0	6	18
5.95921087	266	668	156	0	6	18
6.02161098	268	674	156	0	6	14
6.89521289	291	731	188	0	6	18
7.42561293	298	746	213	0	6	18
7.76881409	303	757	227	0	6	18
9.53161693	343	860	293	0	7	16
9.59401703	345	865	293	0	7	16
10.71721888	376	937	326	0	6	16
24.35164309	755	1899	645	0	7	24
25.31884503	773	1946	666	0	7	19
25.49044490	775	1948	674	0	7	25
26.48884702	779	1949	722	0	7	25
29.81165290	817	2051	849	0	7	26
31.24685502	841	2104	908	0	8	23
31.26245499	841	2103	908	0	8	21
31.26245499	841	2102	908	0	8	19
31.26245499	841	2101	908	0	8	17
31.34045506	843	2106	908	0	8	28
31.41845608	845	2111	908	0	8	27
31.51205587	847	2116	908	0	8	27
31.59005594	849	2121	908	0	8	26
31.83965588	853	2132	912	0	8	23
31.90205598	854	2134	913	0	8	24
finished uploading
travel-3
k=40
time	expanded	visited	terminated	depth	cost	trace
0.10920000	10	26	1	0	3	8
0.14039993	12	30	2	0	4	10
0.31200004	23	57	7	0	4	9
1.23240209	70	177	31	0	5	16
1.31040192	71	174	41	0	6	14
1.32600212	71	173	41	0	6	12
1.37280202	73	178	41	0	6	18
1.43520212	75	183	42	0	6	16
2.04360294	102	243	63	0	5	15
2.09040308	104	247	64	0	6	17
2.79240513	128	304	91	0	6	18
3.02640510	137	327	96	0	6	18
3.16680503	142	340	98	0	6	18
3.27600503	146	351	99	0	6	14
3.58800602	157	379	105	0	6	18
4.33680701	172	416	135	0	7	16
4.39920712	174	421	135	0	7	16
5.07000899	192	468	154	0	6	17
5.10120893	193	470	155	0	6	18
5.24160910	198	484	156	0	6	18
5.91241002	221	541	173	0	6	18
7.26961207	261	641	220	0	6	18
7.89361310	277	680	237	0	6	16
8.65801501	304	750	264	0	6	16
8.76721501	309	764	266	0	5	15
15.25682592	497	1236	415	0	7	19
16.44242811	509	1269	462	0	7	26
16.78562903	513	1267	487	0	8	23
16.78562903	513	1266	487	0	8	20
16.80122900	513	1265	487	0	8	19
16.80122900	513	1264	487	0	8	17
16.87922907	515	1269	487	0	8	28
17.08203006	517	1274	488	0	8	24
17.20683002	519	1280	489	0	8	23
17.25362992	520	1282	490	0	8	24
17.36282992	522	1287	491	0	8	24
17.45642996	524	1292	492	0	8	23
17.56562996	526	1297	493	0	8	24
17.67483091	528	1302	494	0	8	22
17.76843095	530	1307	495	0	8	24
finished uploading
travel-4
k=40
time	expanded	visited	terminated	depth	cost	trace
1.17000198	80	187	30	0	5	14
1.79400301	120	275	44	0	5	12
4.29000688	213	486	119	0	7	20
8.20561385	377	871	207	0	7	16
10.56121802	424	976	294	0	7	14
11.01361895	440	1016	296	0	7	18
11.15401888	444	1028	296	0	7	20
11.27882004	448	1039	297	0	7	22
11.49722004	452	1050	298	0	7	19
12.72962189	472	1090	341	0	8	20
18.45483184	683	1580	442	0	7	19
20.37363601	737	1714	484	0	7	18
32.21405602	1067	2492	727	0	7	24
32.40125704	1070	2499	733	0	7	24
32.83805799	1076	2515	746	0	7	24
33.18125796	1081	2527	756	0	7	24
33.68045902	1089	2550	767	0	7	22
33.86765885	1092	2557	773	0	7	22
34.28885984	1098	2573	786	0	7	22
34.61646104	1103	2585	796	0	7	22
39.57726884	1197	2824	905	0	7	22
44.47567797	1277	3016	1051	0	8	18
48.00128388	1352	3205	1094	0	8	20
63.16451097	1526	3631	1493	0	9	26
63.41411090	1530	3642	1496	0	9	26
63.64811182	1534	3653	1499	0	9	28
64.20971298	1542	3674	1510	0	9	21
64.74011397	1548	3693	1518	0	9	28
70.96452498	1771	4174	1630	0	7	20
80.30894089	2053	4804	1780	0	8	18
120.58821201	2838	6689	2633	0	9	21
158.18427801	3251	7613	3608	0	9	19
164.39308882	3365	7893	3644	0	9	24
164.56468892	3368	7901	3645	0	9	25
164.78308892	3372	7913	3645	0	9	28
164.98588991	3376	7924	3646	0	9	32
165.43828988	3385	7949	3648	0	9	29
165.64109087	3389	7960	3649	0	9	26
166.09349203	3399	7986	3650	0	9	25
166.31189203	3403	7997	3651	0	9	27
finished uploading
travel-5
k=40
time	expanded	visited	terminated	depth	cost	trace
2.37120414	119	401	45	0	5	14
3.86880612	192	632	69	0	5	12
7.94041419	332	1128	139	0	6	15
9.29761600	356	1218	181	0	6	16
10.59241796	377	1299	211	0	7	20
13.01042318	485	1644	235	0	6	15
23.79004097	814	2791	393	0	6	16
24.35164213	825	2835	401	0	6	16
26.80084705	879	3027	434	0	6	15
28.39205003	916	3152	470	0	7	16
36.84726405	1041	3596	728	0	7	20
